panel_group	panel_label	output_type	summary	proxy_tier	tracks	median_auroc	median_aupr	best_auroc	best_aupr	median_auroc_rank	median_aupr_rank
IN	inhibitory	rna_seq	tss_bin	generic_neuronal_proxy	3	0.5106268686149452	0.3784434301159443	0.5289362119272996	0.3821402748132057	170.0	144.0
IN	inhibitory	rna_seq	tss_bin	unmatched	368	0.5082148069923573	0.3733065147487775	0.5515639966440882	0.40526642793492795	186.5	186.5
MG	microglia	cage	gene_span	microglia_proxy_cd14_monocyte	4	0.510861686996524	0.2953478944191466	0.5183244022084845	0.308004271802618	6.5	3.5
MG	microglia	cage	gene_span	unmatched	269	0.46157646376164	0.24173668128362003	0.5278736201934926	0.32373486599293677	139.0	139.0
MG	microglia	cage	tss_bin	microglia_proxy_cd14_monocyte	4	0.5092436017135689	0.3048850146638936	0.5231668119524154	0.3198930908919824	11.0	8.0
MG	microglia	cage	tss_bin	unmatched	269	0.4756311723831954	0.26084225201631395	0.5194148394766749	0.31556783222390883	139.0	139.0
MG	microglia	rna_seq	gene_span	microglia_proxy_cd14_monocyte	1	0.5336090541831574	0.33197537777020536	0.5336090541831574	0.33197537777020536	56.0	47.0
MG	microglia	rna_seq	gene_span	unmatched	370	0.5046709390294877	0.2890574898349214	0.5828054647207112	0.4175848559006622	186.5	186.5
MG	microglia	rna_seq	tss_bin	microglia_proxy_cd14_monocyte	1	0.5364435160510089	0.3069849840221588	0.5364435160510089	0.3069849840221588	37.0	27.0
MG	microglia	rna_seq	tss_bin	unmatched	370	0.5110801450545622	0.27095778183558294	0.562580523732844	0.34542357299993354	186.5	186.5
OD	oligodendrocyte	cage	gene_span	bulk_brain_proxy	19	0.5044918955562021	0.49593149149477	0.52392306056472	0.5181074274165718	17.0	13.0
OD	oligodendrocyte	cage	gene_span	immature_oligo_proxy	1	0.45019438688671587	0.43580522361834917	0.45019438688671587	0.43580522361834917	166.0	212.0
OD	oligodendrocyte	cage	gene_span	unmatched	253	0.4542003152261283	0.4416595816460581	0.5335612568202389	0.5275477580844489	146.0	146.0
OD	oligodendrocyte	cage	tss_bin	bulk_brain_proxy	19	0.518163197464679	0.524203854088164	0.5247444065787523	0.535648518964958	16.0	16.0
OD	oligodendrocyte	cage	tss_bin	immature_oligo_proxy	1	0.46926829305742473	0.4560045317598356	0.46926829305742473	0.4560045317598356	179.0	219.0
OD	oligodendrocyte	cage	tss_bin	unmatched	253	0.47213795634279343	0.463820259921937	0.5232010959981022	0.5309154132765228	146.0	146.0
OD	oligodendrocyte	rna_seq	gene_span	bulk_brain_proxy	22	0.5402760685328933	0.5414064854125449	0.5902658770403137	0.6068667476797517	38.5	39.0
OD	oligodendrocyte	rna_seq	gene_span	unmatched	349	0.49926095364732603	0.5010101239909011	0.5799795325655615	0.5888201985986121	197.0	197.0
OD	oligodendrocyte	rna_seq	tss_bin	bulk_brain_proxy	22	0.5420822658816467	0.5206723714637425	0.5792537677813716	0.5669974615228353	13.5	13.5
OD	oligodendrocyte	rna_seq	tss_bin	unmatched	349	0.48652078181607405	0.4696688775628923	0.5491978470040082	0.5343597431014556	197.0	197.0
OPC	oligodendrocyte precursor	cage	gene_span	bulk_brain_proxy	19	0.47575558412557484	0.39085562693848386	0.4931772103490091	0.4061947235401451	23.0	16.0
OPC	oligodendrocyte precursor	cage	gene_span	direct_opc	1	0.4125702639908217	0.3358822018462798	0.4125702639908217	0.3358822018462798	243.0	246.0
OPC	oligodendrocyte precursor	cage	gene_span	unmatched	253	0.4223550471885756	0.34375438593770113	0.5047530647110937	0.4099228603962307	146.0	146.0
OPC	oligodendrocyte precursor	cage	tss_bin	bulk_brain_proxy	19	0.4893511979229724	0.40904941790905636	0.4931777868740619	0.41563347508703213	11.0	17.0
OPC	oligodendrocyte precursor	cage	tss_bin	direct_opc	1	0.43884808372681167	0.35424559979044457	0.43884808372681167	0.35424559979044457	217.0	226.0
OPC	oligodendrocyte precursor	cage	tss_bin	unmatched	253	0.44682940047159747	0.3615901172601429	0.4921954842714357	0.41508871902291633	146.0	146.0
OPC	oligodendrocyte precursor	rna_seq	gene_span	bulk_brain_proxy	22	0.5112755808970345	0.43331980262330994	0.5792654686476068	0.5220296107279117	41.0	53.5
OPC	oligodendrocyte precursor	rna_seq	gene_span	unmatched	349	0.46543549741620693	0.3970709901963522	0.5615999723267975	0.49860239025320996	197.0	197.0
OPC	oligodendrocyte precursor	rna_seq	tss_bin	bulk_brain_proxy	22	0.5095356763311483	0.4063537087614369	0.5512551911276639	0.4524146120844336	16.5	17.5
OPC	oligodendrocyte precursor	rna_seq	tss_bin	unmatched	349	0.4596816813007943	0.36593408753038553	0.5205275588584035	0.41985335718201733	197.0	197.0
